Timestamp,Stock_code,Price,Changes,Volume,One_year_target
2024-03-07 21:03:42,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:03:43,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:03:44,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:03:45,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:03:46,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:03:48,FB,[],[],[],[]
2024-03-07 21:03:49,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:04:50,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:04:51,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:04:52,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:04:53,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:04:55,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:04:56,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:04:57,FB,[],[],[],[]
2024-03-07 21:04:58,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:05:59,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 21:06:00,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 21:06:02,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 21:06:04,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 21:06:06,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 21:06:08,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 21:06:10,FB,[],[],[],[]
2024-03-07 21:06:11,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 21:07:13,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
